MemberID,FirstName,EmailAddress,MembershipTier,LoyaltyPoints,Consent_Email,JoinDate
CID011,Sam,sam@example.com,Bronze,50,TRUE,2024-11-05
CID012,Riley,riley@example.com,Bronze,50,TRUE,2024-11-03
CID013,Morgan,morgan@example.com,Silver,100,TRUE,2024-11-02
CID014,Alex,alex@example.com,Bronze,50,TRUE,2024-11-01
CID015,Casey,casey@example.com,Bronze,50,TRUE,2024-10-31
CID016,Taylor,taylor@example.com,Silver,100,TRUE,2024-11-04
CID017,Jordan,jordan@example.com,Bronze,50,TRUE,2024-11-05
CID018,Jamie,jamie@example.com,Bronze,50,FALSE,2024-11-02
CID019,Quinn,quinn@example.com,Bronze,50,TRUE,2024-10-30
CID020,Avery,avery@example.com,Bronze,50,TRUE,2024-11-01
